1,afro-americano mix,прочее
2,абрикос,фрукты
3,абрикосовое варенье,сладкое
4,абрикосовые косточки,прочее
5,абрикосовые цукаты,сладкое
6,абрикосовый джем,сладкое
7,абсент,алкоголь
8,авокадо,овощи
9,авокадо «хасс»,овощи
10,агар-агар,прочее
11,аджика,соусы
12,адыгейская соль,соль_сахар
13,азу из индейки,мясо
14,айва,фрукты
15,айран,молочное
16,"айран 1,5% жирности",молочное
17,айсинг,сладкое
18,акациевый мед,сладкое
19,аквафаба,прочее
20,алыча,фрукты
21,альбумин,прочее
22,альгиновая красная икра,рыба
23,амарант,крупы
24,амарантовая мука,мука
25,ананас,фрукты
26,ананасовое желе,фрукты
27,ананасовые цукаты,фрукты
28,ананасовый джем,фрукты
29,ананасовый сироп,фрукты
30,ананасовый сок,напитки
31,анис,специи
32,анисовая водка,алкоголь
33,анчоус,рыба
34,апельсин,фрукты
35,апельсиновая карамель,сладкое
36,апельсиново-перечный соус,соусы
37,апельсиновое желе,фрукты
38,апельсиновый джем,фрукты
39,апельсиновый ликер,алкоголь
40,апельсиновый перец,овощи
41,апельсиновый сироп,фрукты
42,апельсиновый сок,напитки
43,арахис,орехи
44,арахис в глазури,орехи
45,арахисовая мука,мука
46,арахисовая паста,орехи
47,арахисовое масло,масло
48,арбуз,фрукты
49,аргановое масло,масло
50,армянский лаваш,хлеб
51,ароматизатор земляники,прочее
52,ароматические добавки в тесто,прочее
53,артишоки,овощи
54,артишоки в масле,овощи
55,асафетида,специи
56,асьяго,молочное
57,ацидофилин,молочное
58,"ацидофилин 3.2% «молочный знак, 175мл",молочное
59,баварская горчица,соусы
60,баварские сосиски,мясо
61,багет,хлеб
62,бадьян,специи
63,базилик,овощи
64,бакинский огурец,овощи
65,баклажан,овощи
66,баклажаны с овощами,овощи
67,балык свиной копченый,мясо
68,бальзамический соус,соусы
69,бальзамический уксус светлый,уксус
70,бальзамический уксус темный,уксус
71,банан,фрукты
72,банановое пюре,фрукты
73,банановый сок,напитки
74,бараний жир,мясо
75,бараний окорок,мясо
76,баранина,мясо
77,баранина на кости,мясо
78,баранки,хлеб
79,баранье сердце,мясо
80,бараньи легкие,мясо
81,бараньи ребрышки,мясо
82,баранья грудинка,мясо
83,баранья жировая сетка,мясо
84,баранья лопатка,мясо
85,баранья нога,мясо
86,баранья печень,мясо
87,баранья шейка,мясо
88,барбарис,фрукты
89,бастурма,мясо
90,батат,овощи
91,беби-картофель,овощи
92,беби-шпинат,овощи
93,бедро индейки,мясо
94,безалкогольное пиво,напитки
95,безалкогольный биттер,напитки
96,безалкогольный вермут,напитки
97,безалкогольный розовый джин,напитки
98,безглютеновая мука,мука
99,безглютеновые макароны,макароны
100,бездрожжевой хлеб,хлеб
101,безе,сладкое
102,безлактозное молоко,молочное
103,бейгл,хлеб
104,бекмес,сладкое
105,бекон,мясо
106,белая редька,овощи
107,белая фасоль,овощи
108,белая черешня,фрукты
109,белковый крем,сладкое
110,белое вино,алкоголь
111,белое полусладкое вино,алкоголь
112,белое полусухое вино,алкоголь
113,белое сухое вино,алкоголь
114,белок куриного яйца,мясо
115,белокочанная капуста,овощи
116,белые грибы,грибы
117,белые грибы замороженные,грибы
118,белый винный уксус 6%,уксус
119,белый винный уксус 9%,уксус
120,белый кунжут,прочее
121,белый лук,овощи
122,белый перец,специи
123,белый перец горошком,специи
124,белый ром,алкоголь
125,белый хлеб,хлеб
126,белый шоколад,сладкое
127,бергамот,фрукты
128,березовый сок,напитки
129,бисквит,сладкое
130,бисквитные коржи,сладкое
131,биточки из индейки,мясо
132,бифидойогурт,молочное
133,блинная мука,мука
134,блины,прочее
135,бобы эдамаме,овощи
136,болгарский перец,овощи
137,бородинский хлеб,хлеб
138,боярышник,фрукты
139,бренди,алкоголь
140,брокколи,овощи
141,брусника,фрукты
142,брусничный джем,сладкое
143,брусничный соус,соусы
144,брынза,молочное
145,брынза овечья,молочное
146,брюссельская капуста,овощи
147,буженина,мясо
148,булгур,крупы
149,булочка бриошь,хлеб
150,булочка для бургера,хлеб
151,булочки для хот-догов,хлеб
152,бульон,напитки
153,бульон из индейки,напитки
154,бульонный кубик,напитки
155,бульонный кубик гранулированный,напитки
156,буррата,молочное
157,бурый рис,крупы
158,бычки в томате,консервы
159,ванилин,специи
160,ваниль,специи
161,ванильная эссенция,специи
162,ванильное мороженое,сладкое
163,ванильный йогурт,молочное
164,ванильный пломбир,сладкое
165,ванильный порошок,специи
166,ванильный пудинг,сладкое
167,ванильный сахар,соль_сахар
168,ванильный сироп,сладкое
169,вараби,прочее
170,вареная ветчина,мясо
171,вареная говядина,мясо
172,вареная колбаса,мясо
173,вареная морковь,овощи
174,вареная свекла,овощи
175,варенец,молочное
176,варено-копченая грудинка,мясо
177,варено-копченая индейка,мясо
178,варено-копченый бекон,мясо
179,варено-мороженое мясо краба,морепродукты
180,варено-мороженые королевские креветки,морепродукты
181,варено-мороженые креветки,морепродукты
182,вареное сгущенное молоко,молочное
183,варенье,сладкое
184,варенье из ежевики,сладкое
185,варенье из лепестков чайной розы,сладкое
186,варенье из смородины,сладкое
187,васаби,соусы
188,вафельная бумага,прочее
189,вафельная крошка,прочее
190,вафельные коржи,прочее
191,вафельные трубочки,сладкое
192,вафельный рожок,сладкое
193,вафли,сладкое
194,веганская колбаса,мясо
195,веганская котлета,мясо
196,вермишель,макароны
197,вермут,алкоголь
198,ветки малины,фрукты
199,ветчина,мясо
200,ветчина из индейки,мясо
201,ветчина прошутто,мясо
202,вешенки,грибы
203,взбитые сливки,молочное
204,винные дрожжи,прочее
205,винный уксус 6%,уксус
206,винный уксус 9%,уксус
207,винный уксус белый,уксус
208,винный уксус красный,уксус
209,вино мадера,алкоголь
210,вино марсала,алкоголь
211,виноград,фрукты
212,виноград изабелла,фрукты
213,виноград кишмиш,фрукты
214,виноградное масло,масло
215,виноградные листья,овощи
216,виноградный сок,напитки
217,виноградный уксус,уксус
218,виноградный уксус 6%,уксус
219,вискарные дрожжи,прочее
220,виски,алкоголь
221,вишневое варенье,сладкое
222,вишневое желе,сладкое
223,вишневое пюре,фрукты
224,вишневый конфитюр,сладкое
225,вишневый ликер,алкоголь
226,вишневый сироп,сладкое
227,вишневый сок,напитки
228,вишня,фрукты
229,вишня без косточек,фрукты
230,вода,напитки
231,водка,алкоголь
232,водоросли вакаме,прочее
233,водоросли чука,прочее
234,воздушный рис,крупы
235,волнушки,грибы
236,волованы,хлеб
237,вустерширский соус,соусы
238,вяленая вишня,фрукты
239,вяленая клюква,фрукты
240,вяленая хурма,фрукты
241,вяленая черника,фрукты
242,вяленые помидоры,овощи
243,гавайская овощная смесь,овощи
244,гавайская соль,соль_сахар
245,газированная вода,напитки
246,галеты,хлеб
247,гарам масала,специи
248,гвоздика,специи
249,гималайская соль,соль_сахар
250,глазурь,сладкое
251,глюкозный сироп,сладкое
252,говядина,мясо
253,говядина на кости,мясо
254,говяжий антрекот,мясо
255,говяжий бульон,напитки
256,говяжий бульонный кубик,напитки
257,говяжий жир,мясо
258,говяжий ливер,мясо
259,говяжий окорок,мясо
260,говяжий рубец,мясо
261,говяжий стейк рибай,мясо
262,говяжий фарш,мясо
263,говяжий хвост,мясо
264,говяжий язык,мясо
265,говяжье легкое,мясо
266,говяжье сердце,мясо
267,говяжьи кости,мясо
268,говяжьи ноги,мясо
269,говяжьи ребрышки,мясо
270,говяжья вырезка,мясо
271,говяжья голяшка,мясо
272,говяжья грудинка,мясо
273,говяжья лопатка,мясо
274,говяжья печень,мясо
275,говяжья тушенка,консервы
276,говяжья шея,мясо
277,голень индейки,мясо
278,голень теленка,мясо
279,голец,рыба
280,голова семги,рыба
281,голова щуки,рыба
282,голубика,фрукты
283,голубой пищевой краситель,прочее
284,горбуша,рыба
285,горбуша горячего копчения,рыба
286,горох,овощи
287,горох колотый,овощи
288,гороховая мука,мука
289,горошек,овощи
290,горчица,соусы
291,горчичное масло,масло
292,горчичный порошок,специи
293,горчичный соус,соусы
294,горький шоколад,сладкое
295,грана падано,молочное
296,гранат,фрукты
