retailer,category,url,name,quantity,price,currency
magnit,Хлеб и выпечка,https://magnit.ru/product/0000000658-magnit_baton_nareznoy_v_s_narezannyy_330g_khleb,Батон Нарезной нарезанный Магнит 330г,330 г,,RUB
magnit,Напитки,https://magnit.ru/product/1000000186-chay_tess_pina_colada_20pak,Чай зеленый Tess Pina Colada пирамидки 20шт 36г ,36 г,113.0,RUB
magnit,Напитки,https://magnit.ru/product/1000000187-chay_chernyy_tess_forest_dream_20pak,Чай черный Tess Forest Dream 20пир,36 г,89.99,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000000440-seld_atlantika_assorti_v_masle_400g,Сельдь Атлантическая ассорти в масле 400г,400 г,279.99,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000000667-kolbasa_servelatkarelskiy_v_k_0_35kg_myas_pr_v_u_kalinka_24,Колбаса Калинка Сервелат Карельский варено-копченая 350г,350 г,,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000000707-sdobri_mayonez_provansal_67_230g_pl_ban_nmzhk_36,Майонез Сдобри Провансаль 67% 230г,230 г,49.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000000729-lepeshka_vostochnaya_0_33kg_p_up_oganyan_a_yu,Лепешка Восточная 330г,330 г,,RUB
magnit,Молочное,https://magnit.ru/product/1000000732-korovka_iz_korenovki_moloko_sgushch_gost_8_5_d_p_270g_kmkk_24,Молоко сгущенное Коровка из Кореновки 8.5% 270г,270 г,129.0,RUB
magnit,Масла и соусы,https://magnit.ru/product/1000001845-kukusiki_semena_podsolnechnika_obzhar_150g_ip_nanikova_20,Семена подсолнечника Кукусики обжаренные 150г,150 г,83.0,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000001858-kolbasa_doktorskaya_gost_var_kor_bat_mini_myas_pr_romkor,Колбаса Ромкор Докторская вареная весовая,1000 г,,RUB
magnit,Мясо и птица,https://magnit.ru/product/1000001859-kolbasa_molochnaya_gost_var_v_myas_pr_romkor,Колбаса Ромкор молочная вареная весовая,300 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000003148-khleb_ukrainskiy_novyy_narez_0_32kg_p_up_avangard,Хлеб Украинский новый нарезанный Авангард 320г,320 г,,RUB
